x_val,nn
0.0,1.0
0.002,0.998
0.004,0.996
0.006,0.994
0.008,0.992
0.01,0.99
0.012,0.988
0.014,0.984
0.016,0.982
0.018,0.98
0.02,0.978
0.022,0.976
0.024,0.974
0.026,0.972
0.028,0.97
0.03,0.968
0.032,0.966
0.034,0.964
0.036,0.962
0.038,0.96
0.04,0.958
0.042,0.956
0.046,0.954
0.048,0.952
0.05,0.95
0.052,0.948
0.054,0.946
0.056,0.944
0.058,0.942
0.06,0.94
0.062,0.938
0.064,0.936
0.066,0.934
0.068,0.932
0.07,0.93
0.072,0.928
0.074,0.926
0.076,0.924
0.078,0.922
0.08,0.92
0.082,0.918
0.084,0.916
0.086,0.914
0.088,0.912
0.09,0.91
0.092,0.908
0.094,0.906
0.096,0.904
0.098,0.902
0.1,0.9
0.102,0.898
0.104,0.896
0.106,0.894
0.108,0.892
0.11,0.89
0.112,0.888
0.114,0.886
0.116,0.884
0.118,0.882
0.12,0.88
0.122,0.878
0.124,0.876
0.126,0.874
0.128,0.872
0.13,0.87
0.132,0.868
0.134,0.866
0.136,0.864
0.138,0.862
0.14,0.86
0.142,0.856
0.144,0.854
0.146,0.852
0.148,0.85
0.15,0.848
0.152,0.846
0.154,0.844
0.156,0.842
0.16,0.84
0.162,0.838
0.164,0.836
0.166,0.834
0.168,0.832
0.17,0.83
0.172,0.828
0.174,0.826
0.176,0.824
0.178,0.822
0.18,0.82
0.182,0.818
0.184,0.814
0.186,0.812
0.188,0.81
0.19,0.806
0.192,0.804
0.194,0.8
0.196,0.796
0.198,0.794
0.208,0.79
0.21,0.788
0.212,0.786
0.214,0.782
0.216,0.78
0.218,0.776
0.22,0.774
0.222,0.77
0.23,0.768
0.232,0.764
0.234,0.762
0.236,0.76
0.238,0.756
0.24,0.754
0.242,0.75
0.252,0.746
0.254,0.744
0.256,0.742
0.258,0.736
0.26,0.734
0.262,0.732
0.264,0.728
0.266,0.726
0.268,0.724
0.27,0.722
0.272,0.718
0.274,0.714
0.276,0.712
0.278,0.708
0.28,0.704
0.282,0.702
0.284,0.7
0.286,0.698
0.288,0.694
0.308,0.69
0.31,0.684
0.312,0.682
0.314,0.678
0.316,0.676
0.318,0.672
0.32,0.668
0.322,0.664
0.324,0.658
0.326,0.654
0.328,0.65
0.33,0.644
0.352,0.642
0.354,0.64
0.356,0.634
0.358,0.628
0.36,0.624
0.362,0.622
0.364,0.62
0.366,0.616
0.368,0.612
0.37,0.604
0.372,0.594
0.374,0.59
0.376,0.582
0.378,0.58
0.38,0.578
0.382,0.576
0.384,0.574
0.386,0.572
0.388,0.55
0.39,0.548
0.392,0.54
0.394,0.538
0.396,0.536
0.398,0.536
0.4,0.536
0.402,0.528
0.404,0.516
0.45,0.514
0.452,0.514
0.454,0.51
0.456,0.504
0.458,0.504
0.46,0.504
0.462,0.498
0.464,0.494
0.466,0.492
0.468,0.49
0.47,0.474
0.472,0.468
0.474,0.464
0.476,0.46
0.478,0.456
0.48,0.452
0.482,0.444
0.484,0.432
0.486,0.428
0.488,0.416
0.49,0.41
0.492,0.388
0.494,0.382
0.496,0.366
0.498,0.338
0.5,0.334
0.576,0.318
0.578,0.29
0.58,0.29
0.582,0.29
0.584,0.288
0.586,0.278
0.588,0.27
0.59,0.266
0.646,0.266
0.648,0.264
0.65,0.262
0.652,0.262
0.656,0.262
0.658,0.24
0.666,0.238
0.668,0.228
0.67,0.228
0.672,0.226
0.674,0.202
0.676,0.202
0.678,0.202
0.68,0.202
0.682,0.2
0.683,0.0
1.0,0.0
